Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 04 57 +0.10 -1 +1 +1 1
02 04 58 +0.32 -1 +1 +1 1
02 04 59 +1.00 -1 +1 +1 1
02 04 60 +0.13 +1 +1 +1 1
02 05 01 +0.42 -1 -1 -1 1
02 05 02 +0.24 +0 -1 +1 0
02 05 03 +0.56 -1 +1 +1 1
02 05 04 +0.13 +1 +1 +1 1
02 05 05 +1.00 +0 -1 -1 1
02 05 06 +0.56 -1 -1 -1 1
02 05 07 +0.10 +0 +1 +1 1
02 05 08 +0.13 -1 -1 +1 0
02 05 09 +0.32 +0 +1 +1 1
02 05 10 +1.00 -1 -1 -1 1
02 05 11 +0.24 -1 -1 -1 1
02 05 12 +1.00 +1 -1 -1 1
02 05 13 +0.10 -1 +1 +1 1
02 05 14 +0.32 +1 -1 -1 1
02 05 15 +0.18 +0 -1 -1 1
02 05 16 +0.75 -1 -1 -1 1
02 05 17 +0.24 +1 -1 -1 1
02 05 18 +0.00 +1 +1 -1 1
02 05 19 +0.75 +0 -1 -1 1
02 05 20 +0.18 -1 -1 -1 1
02 05 21 +0.75 -1 +1 +1 1
02 05 22 +0.13 +1 -1 +1 0
02 05 23 +0.10 +1 +1 +1 1
02 05 24 +0.56 +1 +1 +1 1
02 05 25 +0.18 +1 +1 +1 1
02 05 26 +0.00 +1 -1 +1 0
02 05 27 +0.00 +0 +1 +1 0
02 05 28 +0.00 +0 -1 +1 0
02 05 29 +0.10 -1 -1 -1 1
02 05 30 +0.32 -1 +1 +1 1
02 05 31 +0.13 -1 +1 +1 1
02 05 32 +0.42 +0 -1 -1 1
02 05 33 +0.00 -1 +1 +1 1
02 05 34 +0.13 +0 -1 -1 1
02 05 35 +0.42 +1 -1 -1 1
02 05 36 +0.56 +0 -1 -1 1
02 05 37 +0.32 +1 +1 +1 1
02 05 38 +1.00 +1 +1 +1 1
02 05 39 +0.75 +0 +1 +1 1
02 05 40 +1.00 -1 +1 +1 1
02 05 41 +1.00 +0 +1 +1 1
02 05 42 +0.32 +0 -1 -1 1
02 05 43 +0.75 +1 -1 -1 1
02 05 44 +0.24 +1 +1 +1 1
02 05 45 +0.24 +0 +1 +1 1
02 05 46 +0.00 -1 -1 +1 0
02 05 47 +0.18 -1 +1 +1 1
02 05 48 +0.18 +0 +1 +1 1
02 05 49 +0.42 +1 +1 +1 1
02 05 50 +0.56 +0 +1 +1 1
02 05 51 +0.56 +1 -1 -1 1
02 05 52 +0.42 -1 +1 +1 1
02 05 53 +0.75 +1 +1 +1 1
02 05 54 +0.24 -1 +1 +1 1
02 05 55 +0.13 +0 +1 +1 1
02 05 56 +0.42 +0 +1 +1 1
02 05 57 +0.18 +1 -1 +1 0
02 05 58 +0.10 +1 -1 +1 0
02 05 59 +0.32 -1 -1 -1 1
02 05 60 +0.10 +0 -1 +1 0
02 06 01 +0.42 +0 -1 -1 1
02 06 02 +0.10 +0 -1 -1 1
02 06 03 +1.00 +1 -1 -1 1
02 06 04 +0.13 +0 -1 -1 1
02 06 05 +0.00 +0 -1 +1 1
02 06 06 +0.56 +0 +1 +1 1
02 06 07 +0.00 +1 +1 -1 0
