Subject Block Trial Dot_Coherence Sound_Direction Response
05 10 23 -0.56 +0 -1
05 10 24 +0.18 +0 +1
05 10 25 -1.00 +0 -1
05 10 26 -0.18 -1 +1
05 10 27 -1.00 -1 -1
05 10 28 +0.00 +1 +1
05 10 29 +0.56 +1 +1
05 10 30 +1.00 -1 +1
05 10 31 -0.18 +0 -1
05 10 32 -0.56 +1 -1
05 10 33 +0.10 +0 +1
