Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
99 09 09 +0.00 -1 +1 +1
99 09 10 +0.10 +0 +1 +1
99 09 11 +0.56 +1 +1 +1
99 09 12 +1.00 -1 +1 +1
99 09 13 +0.56 -1 +1 +1
99 09 14 +0.10 +1 -1 +1
99 09 15 +0.56 -1 -1 -1
99 09 16 +0.56 +1 -1 -1
99 09 17 +0.32 -1 -1 -1
99 09 18 +0.00 +0 +1 +1
99 09 19 +0.18 +0 +1 +1
99 09 20 +0.32 +1 -1 -1
99 09 21 +1.00 +0 +1 +1
99 09 22 +0.56 +0 -1 -1
99 09 23 +0.56 +0 +1 +1
99 09 24 +1.00 -1 -1 -1
99 09 25 +0.32 +0 -1 -1
99 09 26 +0.18 +1 -1 -1
99 09 27 +0.00 +0 -1 +1
99 09 28 +0.00 -1 -1 -1
99 09 29 +0.10 +1 +1 +1
99 09 30 +0.18 -1 -1 -1
99 09 31 +0.10 +0 -1 -1
99 09 32 +0.32 +0 +1 +1
99 09 33 +0.32 +1 +1 +1
99 09 34 +1.00 +1 +1 +1
99 09 35 +0.00 +1 -1 +1
99 09 36 +0.00 +1 +1 +1
99 10 01 +0.00 -1 -1 +1
99 10 02 +0.18 -1 +1 -1
99 10 03 +1.00 +1 +1 +1
99 10 04 +0.18 +0 -1 -1
99 10 05 +0.10 +0 +1 +1
99 10 06 +0.56 -1 +1 +1
99 10 07 +0.10 +1 +1 +1
99 10 08 +0.00 +0 +1 +1
99 10 09 +0.18 -1 -1 -1
99 10 10 +1.00 +1 -1 -1
99 10 11 +0.32 +0 -1 -1
99 10 12 +0.56 +1 +1 +1
99 10 13 +0.18 +1 +1 +1
99 10 14 +1.00 -1 -1 -1
99 10 15 +0.56 +0 -1 -1
99 10 16 +0.32 -1 +1 +1
99 10 17 +0.32 +1 -1 -1
99 10 18 +1.00 +0 -1 -1
99 10 19 +1.00 +0 +1 +1
99 10 20 +0.32 +0 +1 +1
99 10 21 +0.00 -1 +1 +1
99 10 22 +0.56 -1 -1 -1
99 10 23 +0.18 +1 -1 +1
99 10 24 +0.00 +0 -1 -1
99 10 25 +0.32 +1 +1 +1
99 10 26 +0.00 +1 -1 -1
99 10 27 +1.00 -1 +1 +1
99 10 28 +0.56 +1 -1 -1
99 10 29 +0.10 -1 -1 -1
99 10 30 +0.10 -1 +1 +1
99 10 31 +0.10 +0 -1 -1
99 10 32 +0.18 +0 +1 +1
99 10 33 +0.56 +0 +1 +1
99 10 34 +0.00 +1 +1 +1
99 10 35 +0.32 -1 -1 -1
99 10 36 +0.10 +1 -1 +1
